timestamp,speed,current,duty_cycle
0:00:00.012444,67240464,9870,48774
0:00:00.034898,67240464,9870,48774
0:00:00.090412,67240464,9870,48774
0:00:00.136461,67240464,9870,48774
0:00:00.183497,67240464,9870,48774
0:00:00.243919,67240464,9870,48774
0:00:00.286959,67240464,9870,48774
0:00:00.337496,67240464,9870,48774
0:00:00.383185,67240464,9870,48774
0:00:00.436680,67240464,9870,48774
0:00:00.483787,67240464,9870,48774
0:00:00.533975,67240464,9870,48774
0:00:00.586973,67240464,9870,48774
0:00:00.635111,67240464,9870,48774
0:00:00.686165,67240464,9870,48774
0:00:00.736575,67240464,9870,48774
0:00:00.791192,67240464,9870,48774
0:00:00.846104,67240464,9870,48774
0:00:00.888921,67240464,9870,48774
0:00:00.943089,67240464,9870,48774
0:00:00.984913,67240464,9870,48774
0:00:01.043017,67240464,9870,48774
0:00:01.084513,67240464,9870,48774
0:00:01.141968,67240464,9870,48774
0:00:01.185157,67240464,9870,48774
0:00:01.234917,67240464,9870,48774
0:00:01.284131,67240464,9870,48774
0:00:01.337009,67240464,9870,48774
0:00:01.385789,67240464,9870,48774
0:00:01.444895,67240464,9870,48774
0:00:01.497551,67240464,9870,48774
0:00:01.540074,67240464,9870,48774
0:00:01.588029,67240464,9870,48774
0:00:01.635005,67240464,9870,48774
0:00:01.687022,67240464,9870,48774
0:00:01.737475,67240464,9870,48774
0:00:01.791939,67240464,9870,48774
0:00:01.836971,67240464,9870,48774
