acc_x,acc_y,acc_z
23,-11,-1001
24,-13,-990
25,-8,-990
19,-10,-981
25,-17,-982
13,-15,-991
23,-10,-990
13,-6,-986
26,-5,-988
21,-10,-985
23,-12,-981
18,-15,-998
19,-7,-993
32,-3,-989
21,-7,-982
30,-6,-981
16,-10,-992
21,-8,-985
19,-6,-997
28,-10,-997
33,-12,-985
19,-6,-991
26,-10,-990
17,-13,-1000
22,-4,-987
26,-19,-977
23,-6,-989
19,-17,-997
21,-10,-997
23,-3,-989
17,-16,-988
15,-9,-997
21,-10,-989
10,-5,-984
20,-6,-991
21,-11,-991
27,-10,-978
20,-7,-981
10,-3,-985
28,-17,-974
23,-6,-987
16,-12,-998
