timestamp,IMU_vel_x,IMU_vel_y,IMU_vel_z
0:00:00.000430,0,-13,2
0:00:00.000582,1,-11,2
0:00:00.000633,1,-10,1
0:00:00.000812,0,-11,2
0:00:00.000865,0,-12,3
0:00:00.000909,2,-10,0
0:00:00.000952,3,-11,0
0:00:00.000993,-1,-13,1
0:00:00.001035,1,-14,2
0:00:00.001077,-1,-10,1
0:00:00.001119,-2,-11,1
0:00:00.006566,0,-11,1
0:00:00.006633,0,-13,1
0:00:00.009536,-1,-11,2
0:00:00.020416,0,-12,1
0:00:00.041106,0,-12,0
0:00:00.049596,2,-11,0
0:00:00.049691,1,-12,0
0:00:00.049741,-1,-11,1
0:00:00.053378,1,-11,0
0:00:00.062183,-1,-11,2
0:00:00.080409,0,-13,2
0:00:00.081069,2,-13,0
0:00:00.084828,1,-11,1
0:00:00.088780,0,-12,1
0:00:00.097504,0,-11,2
0:00:00.113405,0,-11,1
0:00:00.115934,2,-12,0
0:00:00.116002,1,-13,1
0:00:00.146175,-1,-9,0
0:00:00.146271,-2,-10,1
0:00:00.146322,-1,-11,1
0:00:00.146372,-1,-12,0
0:00:00.148098,0,-11,1
0:00:00.169828,1,-11,0
0:00:00.170543,0,-12,0
0:00:00.170633,0,-11,1
0:00:00.184883,-1,-12,0
0:00:00.185998,0,-10,2
0:00:00.191929,0,-12,1
0:00:00.199656,0,-11,1
0:00:00.211737,1,-12,1
0:00:00.226352,0,-11,1
0:00:00.227248,0,-10,3
0:00:00.227317,0,-9,2
0:00:00.232087,-1,-11,2
0:00:00.238246,-1,-11,0
0:00:00.261572,-1,-11,2
0:00:00.261639,1,-12,3
0:00:00.262026,1,-11,1
0:00:00.276107,1,-12,0
0:00:00.276173,-1,-9,0
0:00:00.282166,0,-13,2
0:00:00.295896,-2,-10,0
0:00:00.296108,-1,-11,1
0:00:00.306664,1,-12,1
0:00:00.309844,1,-11,3
0:00:00.324381,0,-11,0
0:00:00.327026,3,-11,0
0:00:00.329340,1,-11,0
0:00:00.347680,0,-9,0
0:00:00.353400,1,-12,2
0:00:00.353470,0,-11,1
0:00:00.365624,2,-10,1
0:00:00.366118,1,-11,1
0:00:00.375291,0,-11,2
0:00:00.379845,3,-11,0
0:00:00.385871,0,-12,1
0:00:00.394609,2,-11,0
0:00:00.400389,1,-11,0
0:00:00.406436,1,-12,0
0:00:00.417556,0,-11,0
0:00:00.427113,-1,-11,1
0:00:00.428652,-1,-10,0
0:00:00.440400,-1,-10,1
0:00:00.443865,1,-10,0
0:00:00.454397,1,-13,3
0:00:00.465371,1,-11,1
0:00:00.468668,1,-11,1
0:00:00.472760,2,-11,2
0:00:00.478209,1,-12,0
0:00:00.483468,1,-11,3
0:00:00.510036,1,-10,0
0:00:00.510391,-1,-12,0
0:00:00.510665,-1,-12,0
0:00:00.515647,2,-10,0
0:00:00.525233,2,-10,1
0:00:00.525411,0,-9,1
0:00:00.535359,-2,-13,2
0:00:00.548107,1,-10,2
0:00:00.554198,0,-12,0
0:00:00.554338,0,-12,1
0:00:00.575833,1,-11,0
0:00:00.584975,0,-11,1
0:00:00.585556,1,-11,2
0:00:00.585658,2,-9,1
0:00:00.594953,1,-12,1
0:00:00.596583,-1,-11,0
0:00:00.604992,0,-13,1
0:00:00.609700,2,-11,2
0:00:00.619489,0,-13,1
0:00:00.625697,2,-11,2
0:00:00.636208,0,-12,2
0:00:00.672645,0,-13,1
0:00:00.676634,1,-12,1
0:00:00.676694,0,-10,1
0:00:00.676739,0,-13,0
0:00:00.676813,0,-12,1
0:00:00.697366,0,-13,1
0:00:00.697441,-1,-13,0
0:00:00.697491,0,-11,1
0:00:00.706203,-1,-11,1
0:00:00.715134,1,-12,2
0:00:00.716464,1,-13,1
0:00:00.717386,-1,-12,2
0:00:00.729275,0,-10,1
0:00:00.734256,1,-11,2
0:00:00.737228,2,-12,1
0:00:00.742562,-2,-11,1
0:00:00.755021,1,-12,1
0:00:00.764365,1,-10,1
0:00:00.766509,1,-12,1
0:00:00.783033,1,-12,2
0:00:00.784235,0,-9,1
0:00:00.785533,-1,-12,-1
0:00:00.798547,0,-13,1
0:00:00.799221,0,-13,0
0:00:00.805696,1,-14,0
0:00:00.814800,0,-11,1
0:00:00.832125,0,-11,0
0:00:00.833331,0,-11,0
0:00:00.833651,3,-13,1
0:00:00.847633,0,-12,0
0:00:00.849878,1,-11,2
0:00:00.854454,2,-10,0
0:00:00.868911,-2,-11,0
0:00:00.874266,0,-10,1
0:00:00.877758,-2,-11,0
0:00:00.888826,-2,-11,2
0:00:00.889464,1,-13,0
0:00:00.900209,-1,-12,0
0:00:00.929059,-2,-11,1
0:00:00.929145,1,-11,0
0:00:00.932826,-2,-12,1
0:00:00.932891,-1,-11,0
0:00:00.932938,0,-11,1
0:00:00.950997,-2,-12,2
0:00:00.951149,1,-13,2
0:00:00.958043,0,-14,1
0:00:00.961093,0,-12,1
0:00:00.967353,-1,-12,1
0:00:00.974637,-1,-12,3
0:00:00.982267,0,-11,1
0:00:00.987293,0,-10,1
0:00:01.007125,0,-9,2
0:00:01.015409,0,-10,1
0:00:01.015535,-1,-11,1
0:00:01.019189,-3,-12,0
0:00:01.022261,2,-11,1
0:00:01.029500,-3,-12,1
0:00:01.043982,1,-10,1
0:00:01.051739,1,-12,2
0:00:01.052342,1,-12,0
0:00:01.070123,1,-13,1
0:00:01.070687,1,-13,0
0:00:01.072239,-1,-10,0
0:00:01.079312,-1,-13,2
0:00:01.085179,-1,-11,0
0:00:01.100975,-2,-12,1
0:00:01.101040,1,-12,4
0:00:01.106366,0,-11,0
0:00:01.115803,-2,-10,2
