timestamp,Razor_acc_x,Razor_acc_y,Razor_acc_z
0:00:00.000420,0.015,0.234,0.985
0:00:00.001970,0.014,0.236,0.987
0:00:00.010925,0.015,0.236,0.987
0:00:00.015735,0.014,0.236,0.988
0:00:00.021251,0.015,0.237,0.989
0:00:00.035628,0.013,0.237,0.987
0:00:00.035999,0.015,0.237,0.986
0:00:00.036076,0.013,0.236,0.987
0:00:00.040810,0.016,0.236,0.989
0:00:00.051094,0.016,0.236,0.986
0:00:00.052204,0.013,0.236,0.99
0:00:00.061200,0.014,0.236,0.988
0:00:00.061298,0.014,0.235,0.99
0:00:00.066134,0.014,0.234,0.987
0:00:00.071154,0.016,0.236,0.988
0:00:00.076552,0.015,0.237,0.989
0:00:00.081274,0.015,0.235,0.986
0:00:00.086352,0.014,0.236,0.988
0:00:00.091610,0.016,0.235,0.988
0:00:00.101444,0.016,0.237,0.987
0:00:00.101819,0.015,0.237,0.987
0:00:00.106337,0.015,0.235,0.988
0:00:00.111319,0.014,0.237,0.988
0:00:00.116428,0.014,0.236,0.987
0:00:00.126748,0.014,0.236,0.983
0:00:00.126928,0.014,0.236,0.986
0:00:00.131236,0.017,0.237,0.989
0:00:00.138646,0.016,0.238,0.988
0:00:00.154924,0.015,0.238,0.985
0:00:00.159282,0.017,0.236,0.99
0:00:00.183727,0.014,0.232,0.987
0:00:00.188671,0.013,0.234,0.987
0:00:00.198009,0.016,0.237,0.985
0:00:00.202983,0.016,0.237,0.988
0:00:00.207918,0.014,0.238,0.986
0:00:00.217605,0.015,0.241,0.984
0:00:00.222648,0.015,0.242,0.989
0:00:00.227790,0.015,0.24,0.985
0:00:00.235188,0.014,0.238,0.988
0:00:00.245814,0.01,0.231,0.987
0:00:00.250584,0.013,0.232,0.989
0:00:00.274792,0.017,0.236,0.985
0:00:00.279900,0.018,0.24,0.985
